affiliations,age,birthday,blood_type,bounty,devil_fruit_name,devil_fruit_type,height,name,occupations,origin,status,weight
Revolutionary Army,34,June 15th,XF,,Pump-Pump Fruit,Paramecia,"196 cm (6'5"")",Belo Betty,East Army Commander of the Revolutionary Army,East Blue,Alive,
Donquixote Pirates,25 (debut),August 7th,F,,Boing-Boing Fruit (VIZ); Spring-Spring Fruit (Funimation),Paramecia,"240 cm (7'10"")",Bellamy,Dyer; ,,Alive,
Red Hair Pirates,38 (debut);,November 9th,X,,,,"206 cm (6'9"")",Ben Beckman,Pirate,North Blue,Alive,
Kuja,,October 26th,,,,,,Belladonna,Doctor,Calm Belt,Alive,
,,,,,,,,Beer VI,King,,Alive,
Unnamed kingdom (former),,,,,,,,Beret,Pirate,,Alive,
Whitebeard Pirates,,August 6th,,,,,,Blenheim,9th Division ,Grand Line,Alive,
Tontatta Kingdom,,,,,,,,Baxcon,Scout,,Alive,
,,July 1st,,,,,,Bacchy,,,Unknown,
Beasts Pirates,,,,,Bat ,Artificial Zoan,,Bat-Man,Gifter,,Alive,
Marines,36 (debut),July 14th,F,,,,"291 cm (9'7"")",Bastille,Vice Admiral,Grand Line,Alive,
Seven Warlords of the Sea,45 (debut),February 9th,X,,Paw-Paw Fruit,Paramecia,"689 cm (22'7"") (debut, after timeskip)",Bartholomew Kuma,Pirate,South Blue,Alive,
Spade Pirates,,,,,,,,Barry,Pirate,,Alive,
Beasts Pirates,,,,,Flying Squirrel ,Artificial Zoan,,Bao Huang,Shinuchi,,Alive,
Mokomo Dukedom,,,,,,,,Bariete,Recon Squad,,Alive,
Hawkins Pirates,29 (debut),September 9th,S,,Straw-Straw Fruit,Paramecia,"210 cm (6'10½"") (debut, after timeskip)",Basil Hawkins,Pirate,North Blue,Unknown,
World Government,,,,,,,,Basilisk,Level 2 Guardian,West Blue,Alive,
Barto Club,24,October 6th,X,,Barrier-Barrier Fruit (VIZ and Funimation subs);,Paramecia,"220 cm (7'3"")",Bartolomeo,Captain of the Second Ship of the ,East Blue,Alive,
Kozuki Family,,,,,,,,Banzaburo,Retainer of the Kozuki Family; Food taster,,Deceased,
Spade Pirates,,,,,,,,Banshee,Pirate,,Alive,
Thriller Bark Pirates,,,,,,,,"Gyoro, Nin, Bao",Soldier Zombies,,Deceased,
Baroque Works,,,,,,,,Bunchi (Viz),Transportation,West Blue,Alive,
New Spiders Cafe,28 (debut),June 19th,F,,,,"218 cm (7'2"")",Babe,Cafe Delivery Boy,Grand Line,Alive,
Roger Pirates,,,,,,,,Bancro,Pirate,,Unknown,
,,December 17th,,,,,,Bankina,,East Blue,Deceased,
Levely,,,,,,,,N/A,Queen,East Blue,Alive,
Whitebeard Pirates,,,,,,,,Baggaly,Pirate,,Alive,
Kuja,,November 29th,,,,,,"Bacura (Viz, FUNimation),",Pet; Executioner,Calm Belt,Alive,
Marines,,,,,,,,Bazeko,,,Alive,
Happo Navy,24,May 15th,XF,,Arms-Arms Fruit,Paramecia,"181 cm (5'11¼"")",Baby 5,Pirate,North Blue,Alive,
Blackbeard Pirates,40 (debut),September 30th,X,,,,"505 cm (16'6"")",Avalo Pizarro,Pirate,North Blue,Alive,
World Economic Journal,,,,,,,,Attach,Reporter; Marine Photography Department chief (former),,Alive,
,,,,,,,,N/A,,,Alive,
Beasts Pirates,,,,,Elephant ,Artificial ,,Babanuki,Shinuchi,,Alive,
,,,,,,,,Atlas,,,Alive,
Whitebeard Pirates,,March 19th,,,,,,Atmos,13th Division ,West Blue,Alive,
Whitebeard Pirates,Over 30,May 19th,,,,,,Andre,Pirate,,Alive,
World Government,Bas: 48,,Bas: X,,,,"512 cm (16'9½"") (combined)",Baskerville,Chief Justices of Enies Lobby,Grand Line,Unknown,
Wagomuland,77 (debut),August 4th,X,,,,"120 cm (3'11"")",Amazon,Gatekeeper of ,Grand Line,Alive,
,,January 31st,,,,,,Ratherby Seifer,Prisoner,,Alive,
Ally of the ,,June 20th,,,,,,Amadob,Pirate,,Alive,
Cross Guild,25 (debut),March 14th (Beauty Day),S,,"Slip-Slip Fruit (Viz, 4Kids);",Paramecia,"198 cm (6'6"")",Alvida,Pirate Captain,East Blue,Alive,
,,,,,,,,Ally,,,Alive,
Beasts Pirates,,,,,Alpaca ,Artificial Zoan,,Alpaca-Man,Gifter,,Alive,
,,,,,,,,N/A,Arms dealer,,Alive,
Fake Straw Hat Crew,,November 9th,,,,,,Albion,Pirate,,Alive,
,,,,,,,,Uweshall Notpass,Marine,,Alive,
Sun Pirates,46,January 31st,XF,,,,"627 cm (20'7"")",Aladdin,Pirate,Grand Line,Alive,
Shandia,9 (debut),January 3rd,F,,,,"140 cm (4'7"")",Aisa,,Sky Islands,Alive,
Goa Kingdom,,,,,,,,Dumas Fayes,Noble,,Alive,
Goa Kingdom,,,,,,,,Dumas Regal IX,Noble,,Alive,
Baroque Works,,December 27th,,,,,,Akumai,Billions agent,,Alive,
Ally of the ,,,,,,,,Agushily,Pirate,,Alive,
Revolutionary Army,,,,,,,,Ahiru,East Army Deputy Commander,,Alive,
Spade Pirates,,,,,,,,Aggie 68,Pirate,,Alive,
Corrida Colosseum,,November 29th,,,,,,Agyo,,,Alive,
His own bandit gang,,,,,,,,Agotogi,Bandit,,Alive,
Thriller Bark Pirates,34 (debut),December 30th,F,,Clear-Clear Fruit,Paramecia,"195 cm (6'5"")",Absalom,Reporter,West Blue,Deceased,300 kg (661 lb)
Ideo Pirates,,,,,,,,Abdullah,Pirate,,Alive,
Corrida Colosseum,,,,,,,,Agilia; Acilia,Gladiator,,Alive,
Mermaid Café,,,,,,,,Adelle,Dancer,,Alive,
